2025-04-16_19-05-47,000%,draft.go:2025-04-16_19-05-47
2025-04-16_19-11-54,Execução Livre,draft.go:2025-04-16_19-11-54
2025-04-16_19-12-47,Execução Livre,draft.go:2025-04-16_19-12-47
2025-04-16_19-24-21,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-22,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-24,Execução Livre,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-28,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-45,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-46,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-47,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-47,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-47,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-48,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-48,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-48,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-49,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-50,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-50,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-50,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-50,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-50,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-50,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-51,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-51,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-51,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-51,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-51,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-51,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-51,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-53,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-53,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-53,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-53,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-53,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-53,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-53,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-54,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-55,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-55,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-56,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-56,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-57,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-58,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-58,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-58,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-58,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-58,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-58,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-24-59,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-00,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-01,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-02,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-03,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-04,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-25-55,Execução Livre,draft.go:2025-04-16_19-24-21
2025-04-16_19-27-52,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-28-13,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-29-09,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-30-44,000%,draft.go:2025-04-16_19-24-21
2025-04-16_19-30-54,000%,draft.go:2025-04-16_19-30-54
2025-04-16_19-31-05,000%,draft.go:2025-04-16_19-31-05
2025-04-16_19-31-53,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-32-03,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-32-09,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-32,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-37,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-38,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-38,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-39,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-39,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-39,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-39,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-39,100%,draft.go:2025-04-16_19-31-53
2025-04-16_19-34-40,100%,draft.go:2025-04-16_19-31-53
2025-04-21_20-52-53,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-07,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-08,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-09,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-09,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-09,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-10,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-10,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-10,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-10,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-12,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-13,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-13,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-13,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-17,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-17,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-18,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-53,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-54,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-54,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-54,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-55,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-55,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-58,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-53-59,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-52-53
2025-04-21_20-54-48,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-21_20-54-49,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-21_20-54-49,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-21_20-54-49,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-21_20-54-49,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-21_20-54-50,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-21_20-55-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-21_20-55-13,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-22_19-26-11,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-22_19-27-18,Execução Livre,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-22_19-29-59,000%,Readme.md:2025-04-21_20-52-53;draft.go:2025-04-21_20-54-48
2025-04-22_19-31-15,000%,draft.go:2025-04-21_20-54-48
2025-04-22_19-31-29,000%,draft.go:2025-04-22_19-31-29
2025-04-22_19-31-38,000%,draft.go:2025-04-22_19-31-38
2025-04-22_19-31-58,100%,draft.go:2025-04-22_19-31-58
